YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00  50  7.6  9.7  2.60  8.33  6.25 999 1012.5  22.9  25.3 999.0 99.0
98 01 01 01  18  7.2  9.9  2.44 11.11  6.45 999 1011.9  22.1  25.3 999.0 99.0
98 01 01 02  21  9.7 11.8  2.60 10.00  6.33 999 1011.6  22.8  25.3 999.0 99.0
98 01 01 03  36  9.0 10.3  2.54  7.69  6.02 999 1012.1  22.8  25.3 999.0 99.0
98 01 01 04  40  9.1 11.0  2.50  7.69  6.11 999 1012.5  23.4  25.3 999.0 99.0
98 01 01 05  46  8.8 10.2  2.57  7.14  6.03 999 1012.7  23.7  25.2 999.0 99.0
98 01 01 06  63  8.3 10.7  2.34  7.14  5.97 999 1013.4  23.2  25.2 999.0 99.0
98 01 01 07  60  7.8  9.5  2.29 10.00  5.95 999 1013.8  23.4  25.2 999.0 99.0
98 01 01 08  68  7.1  8.3  2.19 10.00  6.02 999 1013.9  23.6  25.2 999.0 99.0
98 01 01 09  59  5.5  6.8  2.13 11.11  6.12 999 1014.0  23.8  25.2 999.0 99.0
98 01 01 10  80  6.5  7.6  2.18 12.50  6.28 999 1013.9  23.9  25.2 999.0 99.0
98 01 01 11  96  6.1  7.5  2.28 11.11  6.62 999 1013.6  24.0  25.2 999.0 99.0
98 01 01 12  67  4.3  5.6  2.26 11.11  6.67 999 1013.7  23.4  25.2 999.0 99.0
98 01 01 13  70  4.0  5.1  2.04 11.11  6.37 999 1013.3  23.9  25.2 999.0 99.0
98 01 01 14  69  3.6  4.6  2.09  9.09  6.62 999 1013.2  23.6  25.2 999.0 99.0
98 01 01 15  76  2.5  3.7  2.10 12.50  6.78 999 1013.3  23.5  25.2 999.0 99.0
98 01 01 16  60  2.3  3.2  1.80  8.33  6.33 999 1013.3  23.3  25.3 999.0 99.0
98 01 01 17  30  3.9  5.1  2.07 11.11  6.54 999 1013.6  23.1  25.3 999.0 99.0
98 01 01 18  25  3.9  4.7  2.03 10.00  6.68 999 1013.8  23.3  25.3 999.0 99.0
98 01 01 19  38  3.3  4.4  2.13 10.00  6.72 999 1014.4  23.2  25.3 999.0 99.0
98 01 01 20  25  2.2  3.3  1.98 11.11  6.73 999 1014.6  23.7  25.4 999.0 99.0
98 01 01 21  58  2.2  3.3  1.97 10.00  6.80 999 1014.3  24.3  25.5 999.0 99.0
98 01 01 22  62  3.0  4.1  2.18 11.11  7.46 999 1013.6  24.3  25.5 999.0 99.0
98 01 01 23  77  2.5  3.1  2.06 10.00  7.20 999 1012.5  24.3  25.6 999.0 99.0
98 01 02 00 102  3.5  4.4  2.36 20.00  8.12 999 1011.8  24.6  25.7 999.0 99.0
98 01 02 01 125  7.2  9.7  2.26 20.00  8.06 999 1011.6  23.9  25.7 999.0 99.0
98 01 02 02 130  6.2  7.7  2.50 16.67  7.79 999 1012.0  24.0  25.6 999.0 99.0
98 01 02 03 128  6.5  8.3  2.40 16.67  7.84 999 1012.6  24.2  25.5 999.0 99.0
98 01 02 04 148  4.4  5.6  2.77 16.67  8.49 999 1013.0  23.3  25.5 999.0 99.0
98 01 02 05 157  4.0  5.6  3.16 16.67  9.44 999 1013.6  24.1  25.4 999.0 99.0
98 01 02 06 100  7.5  8.7  2.59 16.67  8.29 999 1014.2  22.1  25.3 999.0 99.0
98 01 02 07  66  7.7  9.7  2.49 20.00  7.94 999 1014.7  22.8  25.3 999.0 99.0
98 01 02 08 108  3.2  3.9  2.59 16.67  8.87 999 1014.9  24.3  25.3 999.0 99.0
98 01 02 09  85  4.1  5.1  3.00 16.67 10.35 999 1014.7  24.3  25.3 999.0 99.0
98 01 02 10  85  4.1  5.4  2.72 14.29  9.30 999 1014.1  24.4  25.3 999.0 99.0
98 01 02 11 129  4.6  5.4  3.03 16.67  9.95 999 1013.8  24.9  25.3 999.0 99.0
98 01 02 12 133  5.2  6.4  4.04 16.67 10.78 999 1013.6  24.6  25.3 999.0 99.0
98 01 02 13 132  5.2  6.4  3.49 14.29  9.70 999 1013.0  24.5  25.3 999.0 99.0
98 01 02 14 137  4.9  6.4  3.03 16.67  8.92 999 1013.2  24.6  25.3 999.0 99.0
98 01 02 15 138  4.5  5.7  3.12 16.67  9.35 999 1013.3  24.5  25.3 999.0 99.0
98 01 02 16 127  5.3  6.5  2.90 14.29  8.94 999 1013.3  24.1  25.3 999.0 99.0
98 01 02 17 130  4.4  5.6  3.53 16.67 10.07 999 1013.8  24.4  25.3 999.0 99.0
98 01 02 18 121  4.2  5.5  3.03 16.67  9.45 999 1014.1  24.5  25.3 999.0 99.0
98 01 02 19 124  3.7  5.1  3.23 16.67  9.40 999 1014.6  24.8  25.3 999.0 99.0
98 01 02 20 128  4.1  5.3  3.06 14.29  9.13 999 1014.6  25.0  25.3 999.0 99.0
98 01 02 21 111  4.1  5.1  3.17 14.29  9.33 999 1014.6  24.7  25.3 999.0 99.0
98 01 02 22 135  4.2  5.5  3.17 14.29  9.66 999 1013.6  24.7  25.4 999.0 99.0
98 01 02 23 130  4.5  5.5  3.53 14.29 10.00 999 1012.6  24.6  25.4 999.0 99.0
98 01 03 00 131  4.1  5.6  3.42 14.29 10.05 999 1011.7  24.7  25.5 999.0 99.0
