YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 01 01 181  2.2  3.0  1.71 10.00  7.38 999 1013.6  23.1  25.5 999.0 99.0
1999 01 01 02 154  5.1  5.9  1.74 10.00  7.60 999 1013.3  23.5  25.4 999.0 99.0
1999 01 01 03 153  3.7  4.6  1.82 20.00  8.11 999 1013.6  23.9  25.4 999.0 99.0
1999 01 01 04 191  3.3  4.3  2.05 20.00  8.61 999 1013.7  23.8  25.4 999.0 99.0
1999 01 01 05 176  2.6  3.5  2.92 20.00 10.55 999 1013.9  23.9  25.4 999.0 99.0
1999 01 01 06 191  2.6  4.1  4.60 20.00 14.28 999 1014.7  23.9  25.4 999.0 99.0
1999 01 01 07 191  3.1  4.3  5.22 20.00 14.68 999 1015.3  24.1  25.4 999.0 99.0
1999 01 01 08 205  2.5  3.9  5.39 20.00 14.25 999 1015.8  24.3  25.4 999.0 99.0
1999 01 01 09 202  2.8  3.9  5.50 20.00 14.53 999 1015.9  23.9  25.4 999.0 99.0
1999 01 01 10 190  2.2  3.7  6.08 20.00 14.80 999 1015.5  24.1  25.3 999.0 99.0
1999 01 01 11 184  2.6  3.7  5.02 20.00 14.28 999 1015.2  24.2  25.3 999.0 99.0
1999 01 01 12 184  2.9  3.8  4.27 20.00 12.79 999 1014.7  24.3  25.3 999.0 99.0
1999 01 01 13 190  3.4  4.5  4.65 16.67 13.38 999 1014.4  24.3  25.3 999.0 99.0
1999 01 01 14 199  2.9  4.0  4.65 20.00 13.24 999 1014.4  24.3  25.4 999.0 99.0
1999 01 01 15 249  2.1  3.5  4.66 20.00 12.88 999 1014.6  23.0  25.4 999.0 99.0
1999 01 01 16 225  2.3  3.3  4.65 16.67 12.53 999 1014.9  23.6  25.4 999.0 99.0
1999 01 01 17 261   .4  2.1  4.67 16.67 12.60 999 1014.8  23.8  25.3 999.0 99.0
1999 01 01 18 320  1.9  3.0  4.48 20.00 12.12 999 1015.5  24.2  25.3 999.0 99.0
