YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 03 11 22 140  1.2  2.0  2.25 14.29  9.79 999 1017.7 999.0  25.6 999.0 99.0 99.00
2003 03 11 23  49  0.2  0.9  2.06 14.29  9.60 999 1016.8 999.0  25.8 999.0 99.0 99.00
2003 03 12 00  24  0.8  1.9  2.08 14.29  9.83 999 1016.0 999.0  25.9 999.0 99.0 99.00
2003 03 12 01   1  1.4  2.4  2.06 14.29  9.75 999 1015.4 999.0  26.1 999.0 99.0 99.00
2003 03 12 02  33  0.9  1.8  2.16 12.50  9.70 999 1015.2 999.0  26.4 999.0 99.0 99.00
2003 03 12 03  66  1.0  2.0  2.28 12.50  9.55 999 1015.3 999.0  26.6 999.0 99.0 99.00
2003 03 12 04  43  0.7  1.3  2.34 12.50  9.92 999 1015.5 999.0  26.6 999.0 99.0 99.00
2003 03 12 05   5  1.3  2.7  2.02 12.50  9.53 999 1015.9 999.0  26.2 999.0 99.0 99.00
2003 03 12 06  20  0.9  1.8  1.92 12.50  9.01 999 1016.5 999.0  26.1 999.0 99.0 99.00
2003 03 12 07  18  1.7  2.5  2.21 12.50  9.53 999 1017.1 999.0  26.0 999.0 99.0 99.00
2003 03 12 08  33  1.7  2.3  1.93 12.50  9.22 999 1017.6 999.0  25.8 999.0 99.0 99.00
2003 03 12 09  46  2.3  3.4  2.08 10.00  9.29 999 1017.8 999.0  25.7 999.0 99.0 99.00
2003 03 12 10  60  2.5  3.4  1.83 11.11  9.20 999 1017.8 999.0  25.6 999.0 99.0 99.00
2003 03 12 11  64  2.1  3.1  1.92 12.50  9.59 999 1017.5 999.0  25.4 999.0 99.0 99.00
2003 03 12 12  55  2.3  2.9  1.81 10.00  8.99 999 1016.8 999.0  25.4 999.0 99.0 99.00
2003 03 12 13  50  1.8  2.5  1.75 12.50  9.03 999 1016.3 999.0  25.5 999.0 99.0 99.00
2003 03 12 14  60  1.5  2.5  1.86  9.09  8.95 999 1016.2 999.0  25.8 999.0 99.0 99.00
2003 03 12 15  23  1.2  2.6  1.67  9.09  8.60 999 1016.2 999.0  25.4 999.0 99.0 99.00
