YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 08 21 173  2.1  3.2  1.68 10.00  8.08 999 1015.5  24.1  25.7 999.0 99.0 99.00
2004 01 08 22 197  1.3  2.3  1.66 11.11  8.37 999 1015.0  24.2  25.9 999.0 99.0 99.00
2004 01 08 23 190  0.5  1.5  1.75 11.11  8.34 999 1014.0  24.4  26.0 999.0 99.0 99.00
2004 01 09 00 252  1.0  1.8  1.63 10.00  8.23 999 1013.1  24.0  26.1 999.0 99.0 99.00
2004 01 09 01 251  1.2  2.2  1.85 10.00  8.67 999 1012.5  24.6  26.2 999.0 99.0 99.00
2004 01 09 02 258  1.4  1.8  1.66 10.00  8.31 999 1012.4  24.4  26.0 999.0 99.0 99.00
2004 01 09 03 303  1.6  2.7  1.89 10.00  8.74 999 1012.4  24.6  26.4 999.0 99.0 99.00
2004 01 09 04 253  0.6  1.4  1.74 10.00  8.36 999 1012.4  24.7  26.3 999.0 99.0 99.00
2004 01 09 05 241  0.5  1.2  1.79 10.00  8.78 999 1012.6  23.8  26.1 999.0 99.0 99.00
2004 01 09 06 139  0.6  1.4  1.73 10.00  8.70 999 1012.8  23.7  26.0 999.0 99.0 99.00
2004 01 09 07 167  1.0  1.8  1.64  9.09  8.51 999 1013.5  23.8  25.8 999.0 99.0 99.00
2004 01 09 08 182  0.7  1.7  1.80 10.00  9.12 999 1013.7  23.7  25.7 999.0 99.0 99.00
2004 01 09 09 202  1.5  2.9  1.89 10.00  8.78 999 1013.8  23.8  25.7 999.0 99.0 99.00
2004 01 09 10 171  2.1  3.2  2.00 11.11  8.87 999 1013.8  23.7  25.6 999.0 99.0 99.00
2004 01 09 11 213  1.1  1.9  2.07 14.29  8.96 999 1013.4  23.8  25.7 999.0 99.0 99.00
2004 01 09 12 209  2.0  2.8  1.99 12.50  9.04 999 1013.2  23.8  25.6 999.0 99.0 99.00
2004 01 09 13 248  2.8  3.7  1.81 10.00  9.02 999 1013.0  23.9  25.8 999.0 99.0 99.00
2004 01 09 14 195  2.8  3.6  1.78 12.50  8.70 999 1012.9  23.8  25.6 999.0 99.0 99.00
2004 01 09 15 197  1.6  2.6  1.91 14.29  9.24 999 1013.0  23.7  25.6 999.0 99.0 99.00
2004 01 09 16 285  2.4  3.5  1.88 10.00  8.93 999 1013.0  23.7  25.5 999.0 99.0 99.00
2004 01 09 17 272  1.3  2.2  2.01 12.50  9.32 999 1013.2  23.6  25.5 999.0 99.0 99.00
2004 01 09 18 343  0.3  1.2  1.79 10.00  9.04 999 1013.8  24.1  25.6 999.0 99.0 99.00
2004 01 09 19 209  3.8  5.0  1.84 11.11  9.40 999 1014.3  24.0  25.6 999.0 99.0 99.00
2004 01 09 20 186  3.1  4.4  1.93 11.11  9.39 999 1014.6  24.1  25.6 999.0 99.0 99.00
2004 01 09 21 250  2.7  3.9  1.74 11.11  9.35 999 1014.7  24.0  25.6 999.0 99.0 99.00
2004 01 09 22 242  3.1  4.0  1.75 11.11  8.99 999 1014.1  24.2  25.7 999.0 99.0 99.00
2004 01 09 23 260  3.3  4.5  1.95 11.11  9.65 999 1013.2  24.2  25.7 999.0 99.0 99.00
2004 01 10 00 253  3.5  4.9  1.73 11.11  9.02 999 1012.2  24.4  25.7 999.0 99.0 99.00
2004 01 10 01 262  2.3  3.5  1.69 14.29  9.22 999 1011.7  24.5  25.7 999.0 99.0 99.00
2004 01 10 02 268  2.3  3.9  1.85 12.50  9.26 999 1011.7  24.7  25.8 999.0 99.0 99.00
2004 01 10 03 273  3.1  4.1  1.82 12.50  9.16 999 1012.0  24.7  25.7 999.0 99.0 99.00
2004 01 10 04 302  2.3  3.3  1.67 12.50  8.92 999 1012.4  24.5  25.7 999.0 99.0 99.00
2004 01 10 05 304  1.7  3.2  1.58 12.50  8.72 999 1012.7  24.2  25.7 999.0 99.0 99.00
2004 01 10 06 328  1.1  1.8  1.68 10.00  9.00 999 1013.4  24.1  25.6 999.0 99.0 99.00
2004 01 10 07 331  0.5  1.2  1.75 10.00  9.07 999 1013.9  24.0  25.6 999.0 99.0 99.00
2004 01 10 08 235  1.1  1.7  1.70 11.11  9.62 999 1014.0  24.0  25.6 999.0 99.0 99.00
2004 01 10 09   0  0.1  0.7  1.81 11.11  9.39 999 1014.0  23.8  25.6 999.0 99.0 99.00
2004 01 10 10 210  1.0  1.9  1.90 25.00  9.81 999 1013.8  23.9  25.6 999.0 99.0 99.00
2004 01 10 11 208  0.8  1.7  2.00 20.00 10.36 999 1013.6  23.9  25.7 999.0 99.0 99.00
2004 01 10 12 198  1.4  2.8  2.24 20.00 10.45 999 1013.4  23.9  25.6 999.0 99.0 99.00
2004 01 10 13 216  2.2  3.1  3.09 20.00 13.19 999 1013.1  23.9  25.6 999.0 99.0 99.00
2004 01 10 14 185  2.8  4.5  2.71 20.00 12.13 999 1013.2  23.8  25.5 999.0 99.0 99.00
2004 01 10 15 225  3.0  4.8  2.92 20.00 12.64 999 1013.3  24.0  25.5 999.0 99.0 99.00
2004 01 10 16 239  2.0  2.8  3.42 20.00 13.53 999 1013.6  23.9  25.5 999.0 99.0 99.00
2004 01 10 17 228  1.0  1.7  3.51 20.00 13.94 999 1014.2  23.9  25.5 999.0 99.0 99.00
2004 01 10 18 220  0.6  2.6  4.43 20.00 14.94 999 1014.9  24.1  25.5 999.0 99.0 99.00
2004 01 10 19 141  0.7  1.8  3.89 16.67 13.75 999 1015.4  24.2  25.5 999.0 99.0 99.00
2004 01 10 20 185  2.0  3.7  3.48 16.67 13.51 999 1015.9  24.4  25.5 999.0 99.0 99.00
2004 01 10 21 167  2.5  5.0  4.44 16.67 14.28 999 1015.9  24.5  25.5 999.0 99.0 99.00
2004 01 10 22 189  1.9  4.3  4.28 16.67 14.24 999 1015.4  24.8  25.5 999.0 99.0 99.00
2004 01 10 23 182  3.0  5.6  4.57 16.67 13.84 999 1014.6  24.8  25.6 999.0 99.0 99.00
2004 01 11 00 172  3.5  6.2  4.04 16.67 12.85 999 1013.6  24.7  25.6 999.0 99.0 99.00
2004 01 11 01 167  3.9  6.2  4.14 16.67 13.50 999 1013.0  24.7  25.7 999.0 99.0 99.00
2004 01 11 02 167  3.0  5.1  3.95 14.29 12.22 999 1013.0  24.8  25.7 999.0 99.0 99.00
2004 01 11 03 196  3.6  6.1  4.34 16.67 13.02 999 1013.2  24.9  25.7 999.0 99.0 99.00
2004 01 11 04 180  2.8  5.2  4.29 16.67 12.94 999 1013.5  24.9  25.7 999.0 99.0 99.00
2004 01 11 05 176  2.4  4.1  3.57 14.29 11.99 999 1014.0  24.6  25.7 999.0 99.0 99.00
2004 01 11 06 166  2.9  5.1  4.10 14.29 12.36 999 1014.5  24.5  25.7 999.0 99.0 99.00
2004 01 11 07 173  3.2  5.1  3.69 16.67 12.24 999 1014.7  24.6  25.7 999.0 99.0 99.00
2004 01 11 08 168  4.0  6.5  3.52 14.29 12.06 999 1014.6  24.5  25.7 999.0 99.0 99.00
2004 01 11 09 171  3.4  5.3  3.47 14.29 11.72 999 1014.5  24.3  25.7 999.0 99.0 99.00
2004 01 11 10 183  3.7  5.6  3.67 16.67 12.03 999 1014.2  24.2  25.7 999.0 99.0 99.00
2004 01 11 11 186  2.9  4.7  3.70 14.29 12.04 999 1013.9  24.1  25.7 999.0 99.0 99.00
2004 01 11 12 193  3.5  5.1  3.64 14.29 11.74 999 1013.6  24.1  25.7 999.0 99.0 99.00
2004 01 11 13 192  3.7  5.3  3.59 14.29 11.70 999 1013.1  24.0  25.7 999.0 99.0 99.00
2004 01 11 14 191  3.1  4.8  3.26 14.29 11.12 999 1012.6  24.0  25.7 999.0 99.0 99.00
2004 01 11 15 206  3.0  4.7  2.92 14.29 10.92 999 1012.9  24.0  25.7 999.0 99.0 99.00
2004 01 11 16 212  3.0  4.6  3.14 14.29 11.20 999 1013.0  24.1  25.7 999.0 99.0 99.00
2004 01 11 17 243  3.0  4.2  2.75 14.29 10.75 999 1013.5  24.2  25.7 999.0 99.0 99.00
2004 01 11 18 231  4.3  5.4  2.73 14.29 10.74 999 1013.8  24.2  25.7 999.0 99.0 99.00
2004 01 11 19 226  3.1  4.3  2.42 12.50 10.21 999 1014.3  24.3  25.7 999.0 99.0 99.00
2004 01 11 20 225  3.9  6.0  2.54 14.29 10.59 999 1014.6  24.6  25.7 999.0 99.0 99.00
2004 01 11 21 228  3.9  5.5  2.36 12.50 10.16 999 1014.6  24.6  25.7 999.0 99.0 99.00
2004 01 11 22 229  4.1  5.4  2.34 12.50 10.29 999 1014.1  24.7  25.8 999.0 99.0 99.00
2004 01 11 23 249  4.5  5.5  2.07 14.29  9.66 999 1013.4  24.7  25.9 999.0 99.0 99.00
2004 01 12 00 246  5.5  6.6  2.43 12.50  9.78 999 1012.3  24.8  25.9 999.0 99.0 99.00
2004 01 12 01 248  6.0  7.4  1.96 12.50  8.98 999 1011.8  24.8  25.9 999.0 99.0 99.00
2004 01 12 02 256  6.4  7.2  2.01 12.50  8.50 999 1011.8  25.1  25.9 999.0 99.0 99.00
2004 01 12 03 252  5.5  7.1  2.20 12.50  8.77 999 1011.9  25.3  25.8 999.0 99.0 99.00
2004 01 12 04 213  5.5  6.4  1.86 12.50  8.12 999 1011.2  25.1  25.8 999.0 99.0 99.00
2004 01 12 05 217  5.1  6.2  1.93 12.50  8.56 999 1011.5  24.9  25.8 999.0 99.0 99.00
2004 01 12 06 234  5.4  7.4  1.84 12.50  8.01 999 1012.1  24.9  25.8 999.0 99.0 99.00
2004 01 12 07 237  5.5  6.8  1.91 11.11  7.99 999 1012.3  24.7  25.8 999.0 99.0 99.00
2004 01 12 08 235  5.8  6.9  1.82 11.11  7.82 999 1012.8  24.8  25.8 999.0 99.0 99.00
2004 01 12 09 223  6.5  8.1  1.76 12.50  7.66 999 1012.4  24.8  25.7 999.0 99.0 99.00
2004 01 12 10 239  6.2  7.6  1.94 12.50  7.52 999 1012.6  24.8  25.7 999.0 99.0 99.00
2004 01 12 11 239  6.4  7.8  1.90 11.11  7.27 999 1012.5  24.9  25.7 999.0 99.0 99.00
2004 01 12 12 241  6.7  7.8  2.05 12.50  7.24 999 1012.3  24.8  25.7 999.0 99.0 99.00
2004 01 12 13 237  6.8  8.3  1.88 11.11  6.95 999 1011.9  24.7  25.7 999.0 99.0 99.00
2004 01 12 14 239  6.4  8.0  1.85 10.00  6.76 999 1011.6  24.7  25.7 999.0 99.0 99.00
2004 01 12 15 235  6.6  7.8  2.01 12.50  6.52 999 1011.5  24.7  25.7 999.0 99.0 99.00
