YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 129 11.9 14.8  3.21  8.33  5.88 999 1008.8  24.6  25.9 999.0 99.0 99.00
2005 01 01 01 00 137 12.3 14.7  3.41  8.33  6.35 999 1008.7  25.2  25.9 999.0 99.0 99.00
2005 01 01 02 00 139 10.6 12.2  3.38  8.33  6.26 999 1008.7  25.3  25.9 999.0 99.0 99.00
2005 01 01 03 00 135  9.9 11.9  3.24  7.69  6.19 999 1008.3  25.0  25.8 999.0 99.0 99.00
2005 01 01 04 00 145  9.0 11.2  2.97  9.09  5.99 999 1009.3  25.4  25.8 999.0 99.0 99.00
2005 01 01 05 00 140 12.0 14.4  3.34  9.09  6.22 999 1008.6  25.0  25.8 999.0 99.0 99.00
2005 01 01 06 00 143 12.0 14.7  3.14  9.09  6.05 999 1009.2  25.7  25.8 999.0 99.0 99.00
2005 01 01 07 00 147 15.1 18.4  3.32  8.33  5.93 999 1008.6  25.7  25.8 999.0 99.0 99.00
2005 01 01 08 00 141 15.8 19.8  3.63  9.09  6.17 999 1007.4  25.4  25.8 999.0 99.0 99.00
2005 01 01 09 00 146 14.9 18.7  3.72  8.33  6.08 999 1008.2  25.6  25.8 999.0 99.0 99.00
2005 01 01 10 00 149 14.5 18.7  3.91  8.33  6.51 999 1008.3  25.5  25.8 999.0 99.0 99.00
2005 01 01 11 00 152 14.7 17.4  3.71  8.33  6.29 999 1008.4  25.7  25.8 999.0 99.0 99.00
2005 01 01 12 00 149 13.5 16.3  4.02  9.09  6.68 999 1008.1  25.7  25.8 999.0 99.0 99.00
2005 01 01 13 00 150 12.6 15.5  3.56  8.33  6.30 999 1007.8  24.0  25.8 999.0 99.0 99.00
2005 01 01 14 00 120  4.6  6.9  3.78  9.09  6.64 999 1007.3  23.4  25.8 999.0 99.0 99.00
2005 01 01 15 00 203  8.0 11.7  3.83  9.09  6.45 999 1008.9  22.1  25.8 999.0 99.0 99.00
2005 01 01 16 00 115  3.9  6.8  3.47  9.09  6.57 999 1008.9  23.0  25.9 999.0 99.0 99.00
2005 01 01 17 00 248  4.4  6.5  3.59  7.69  6.72 999 1009.3  22.9  25.8 999.0 99.0 99.00
2005 01 01 18 00 162  8.2 12.3  3.81  9.09  6.96 999 1010.3  24.2  25.9 999.0 99.0 99.00
2005 01 01 19 00 199  6.9  9.2  3.67  9.09  6.97 999 1011.6  23.1  25.9 999.0 99.0 99.00
2005 01 01 20 00 187  7.9  9.9  3.53 10.00  7.00 999 1011.0  23.4  25.9 999.0 99.0 99.00
2005 01 01 21 00 189  7.9  9.3  3.63  9.09  7.18 999 1010.3  24.1  25.9 999.0 99.0 99.00
2005 01 01 22 00 219  6.3  7.4  3.38  9.09  7.08 999 1010.1  24.7  25.9 999.0 99.0 99.00
2005 01 01 23 00 187  6.9  8.0  3.30 10.00  7.06 999 1009.2  24.3  26.0 999.0 99.0 99.00
2005 01 02 00 00 286  7.3  9.5  3.06  9.09  7.17 999 1008.6  22.4  26.0 999.0 99.0 99.00
2005 01 02 01 00 280  3.8  5.7  3.09  9.09  7.09 999 1008.2  23.9  26.0 999.0 99.0 99.00
2005 01 02 02 00 271  5.7  7.3  3.12  8.33  7.14 999 1008.5  24.0  26.0 999.0 99.0 99.00
2005 01 02 03 00 265  3.0  4.3  3.23  9.09  7.20 999 1008.9  24.6  26.0 999.0 99.0 99.00
2005 01 02 04 00 297  1.3  3.2  3.41  9.09  7.52 999 1009.1  24.5  26.0 999.0 99.0 99.00
2005 01 02 05 00 169  1.1  2.6  2.94  9.09  7.30 999 1009.3  24.6  26.0 999.0 99.0 99.00
2005 01 02 06 00 182  2.4  3.4  3.01  9.09  7.42 999 1009.9  24.9  26.0 999.0 99.0 99.00
2005 01 02 07 00 173  2.0  3.2  2.93  9.09  7.25 999 1010.6  24.8  26.0 999.0 99.0 99.00
2005 01 02 08 00 207  2.0  3.2  2.82  9.09  7.05 999 1010.7  25.0  26.0 999.0 99.0 99.00
2005 01 02 09 00  12  1.0  2.0  2.57  9.09  7.35 999 1011.0  22.8  26.0 999.0 99.0 99.00
2005 01 02 10 00 308  3.0  4.4  2.46  9.09  7.24 999 1010.5  24.4  25.9 999.0 99.0 99.00
2005 01 02 11 00 339  4.8  5.9  2.43  9.09  7.25 999 1010.0  24.6  25.9 999.0 99.0 99.00
2005 01 02 12 00  10  8.9 11.1  2.49 10.00  7.06 999 1009.9  22.9  26.0 999.0 99.0 99.00
2005 01 02 13 00   9  7.3  9.0  2.36  9.09  6.16 999 1009.7  24.2  26.0 999.0 99.0 99.00
2005 01 02 14 00   2  7.9 10.5  2.50  9.09  6.32 999 1009.8  24.3  26.0 999.0 99.0 99.00
2005 01 02 15 00   8  7.2  9.2  2.31  9.09  6.35 999 1009.7  24.3  26.0 999.0 99.0 99.00
2005 01 02 16 00   2  7.2  8.8  2.18  8.33  6.04 999 1009.7  24.4  26.0 999.0 99.0 99.00
2005 01 02 17 00  10  5.9  7.6  2.13  7.69  6.26 999 1010.6  24.3  25.9 999.0 99.0 99.00
2005 01 02 18 00   5  5.5  7.9  2.46  9.09  6.43 999 1011.3  24.6  25.9 999.0 99.0 99.00
2005 01 02 19 00 354  6.3  7.8  2.39  9.09  6.84 999 1011.7  24.6  25.9 999.0 99.0 99.00
2005 01 02 20 00 349  8.2  9.9  2.51  9.09  6.75 999 1012.2  23.8  25.9 999.0 99.0 99.00
2005 01 02 21 00 351  7.3  8.7  2.42 10.00  6.82 999 1012.2  23.9  25.9 999.0 99.0 99.00
2005 01 02 22 00 349  6.7  8.4  2.68 10.00  6.60 999 1011.3  24.0  25.9 999.0 99.0 99.00
2005 01 02 23 00 355  7.9 10.9  2.67  9.09  6.58 999 1010.6  23.6  25.9 999.0 99.0 99.00
2005 01 03 00 00 342  6.5  9.8  2.79 10.00  6.76 999 1010.0  23.5  25.9 999.0 99.0 99.00
2005 01 03 01 00 355  6.9  9.0  2.93  7.69  6.91 999 1009.7  23.7  25.9 999.0 99.0 99.00
2005 01 03 02 00 351  7.2  9.2  2.99  9.09  6.99 999 1009.8  23.8  25.9 999.0 99.0 99.00
