#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00  73  6.3  7.7  2.19  7.69  6.03 999 1014.2  25.2  25.7 999.0 99.0 99.00
2007 01 01 01 00  82  5.6  6.6  2.36  9.09  6.38 999 1013.6  25.3  25.8 999.0 99.0 99.00
2007 01 01 02 00  71  6.5  7.5  2.23  7.14  6.10 999 1013.6  25.1  25.8 999.0 99.0 99.00
2007 01 01 03 00  68  6.5  7.6  2.19  7.69  6.02 999 1013.8  25.2  25.8 999.0 99.0 99.00
2007 01 01 04 00  69  6.8  8.0  2.43 19.05  6.67 999 1014.2  25.1  25.7 999.0 99.0 99.00
2007 01 01 05 00  59  6.3  7.4  2.23  8.33  6.40 999 1014.4  25.0  25.7 999.0 99.0 99.00
2007 01 01 06 00  63  7.2  8.2  2.32  8.33  6.43 999 1014.9  25.1  25.6 999.0 99.0 99.00
2007 01 01 07 00  68  7.4  8.4  2.21 17.39  6.34 999 1015.4  25.0  25.7 999.0 99.0 99.00
2007 01 01 08 00  69  6.8  8.6  2.43  9.09  6.61 999 1015.7  25.2  25.7 999.0 99.0 99.00
2007 01 01 09 00  64  6.6  7.9  2.17  8.33  6.34 999 1015.7  25.1  25.7 999.0 99.0 99.00
2007 01 01 10 00  78  6.1  7.2  2.49 10.00  6.83 999 1015.6  25.1  25.7 999.0 99.0 99.00
2007 01 01 11 00  69  5.5  6.6  2.48 10.00  6.91 999 1015.3  24.8  25.6 999.0 99.0 99.00
2007 01 01 12 00  79  5.3  6.6  2.56 10.00  6.74 999 1014.9  24.8  25.6 999.0 99.0 99.00
2007 01 01 13 00  63  5.2  6.4  2.54 17.39  6.83 999 1014.4  24.6  25.6 999.0 99.0 99.00
2007 01 01 14 00  73  5.9  7.0  2.69  9.09  6.79 999 1014.2  24.9  25.6 999.0 99.0 99.00
2007 01 01 15 00  75  7.6  9.5  2.69 10.00  6.62 999 1014.2  24.9  25.7 999.0 99.0 99.00
2007 01 01 16 00  79  9.0 10.7  2.52  9.09  6.04 999 1014.4  25.0  25.6 999.0 99.0 99.00
