#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00  37 11.0 13.5  2.98 10.00  6.08 999 1011.6 999.0  25.5 999.0 99.0 99.00
2008 01 01 01 00  37 11.8 13.4  3.05  8.33  6.00 999 1011.2 999.0  25.5 999.0 99.0 99.00
2008 01 01 02 00  46 10.4 12.4  3.12  8.33  6.21 999 1011.5 999.0  25.6 999.0 99.0 99.00
2008 01 01 03 00  55 11.6 14.0  3.54  7.69  6.45 999 1011.9 999.0  25.6 999.0 99.0 99.00
2008 01 01 04 00  63 10.8 13.1  3.36  8.33  6.50 999 1012.4 999.0  25.6 999.0 99.0 99.00
2008 01 01 05 00  58 11.4 13.7  3.56 10.00  6.58 999 1012.8 999.0  25.6 999.0 99.0 99.00
2008 01 01 06 00  62 12.4 15.0  3.43 10.81  6.58 999 1013.1 999.0  25.6 999.0 99.0 99.00
2008 01 01 07 00  61 12.3 14.5  3.51 10.00  6.46 999 1013.8 999.0  25.5 999.0 99.0 99.00
2008 01 01 08 00  61 11.4 14.4  3.74  9.09  6.74 999 1014.0 999.0  25.5 999.0 99.0 99.00
2008 01 01 09 00  64 12.3 14.8  3.77  8.33  6.85 999 1014.4 999.0  25.5 999.0 99.0 99.00
2008 01 01 10 00  74 10.0 12.0  3.98 10.00  7.03 999 1014.3 999.0  25.5 999.0 99.0 99.00
2008 01 01 11 00  66 10.9 13.0  3.91 10.00  7.07 999 1014.2 999.0  25.5 999.0 99.0 99.00
2008 01 01 12 00  61 10.1 12.5  3.93 10.00  7.16 999 1014.0 999.0  25.5 999.0 99.0 99.00
2008 01 01 13 00  70  9.8 12.3  3.94 10.00  7.09 999 1013.7 999.0  25.5 999.0 99.0 99.00
2008 01 01 14 00  59 10.1 12.1  3.77 10.00  7.25 999 1013.1 999.0  25.5 999.0 99.0 99.00
2008 01 01 15 00  64 10.2 12.1  3.64 10.81  6.92 999 1013.2 999.0  25.5 999.0 99.0 99.00
2008 01 01 16 00  64 10.7 12.4  3.67 10.00  7.09 999 1013.8 999.0  25.5 999.0 99.0 99.00
2008 01 01 17 00  71 11.3 15.0  3.94 10.00  7.06 999 1014.8 999.0  25.5 999.0 99.0 99.00
2008 01 01 18 00  63 11.8 13.9  3.69 10.81  7.02 999 1015.0 999.0  25.5 999.0 99.0 99.00
2008 01 01 19 00  63 11.6 13.7  3.82 10.81  6.86 999 1015.2 999.0  25.5 999.0 99.0 99.00
