#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50  35  7.5  8.9  2.34 10.00  6.56  31 1012.3  23.9  25.6 999.0 99.0 99.00
2017 01 01 00 50  33  8.1  9.4  2.09  9.09  6.30  53 1011.8  23.9  25.6 999.0 99.0 99.00
2017 01 01 01 50  32  7.9  9.9  2.17 10.00  6.65  36 1011.8  24.0  25.6 999.0 99.0 99.00
2017 01 01 02 50  34  7.9  9.8  2.31 10.00  6.57   7 1012.0  24.0  25.6 999.0 99.0 99.00
2017 01 01 03 50  38  7.5  9.3  2.40 10.00  6.69  72 1012.7  24.0  25.7 999.0 99.0 99.00
2017 01 01 04 50  38  7.2  8.9  2.34 10.00  6.79  31 1013.4  23.9  25.7 999.0 99.0 99.00
2017 01 01 05 50  36  7.2  9.4  2.08  9.09  6.43  31 1014.0  23.9  25.7 999.0 99.0 99.00
2017 01 01 06 50  35  7.8 10.0  2.10 10.81  6.54  14 1014.5  23.9  25.7 999.0 99.0 99.00
2017 01 01 07 50  40  8.0  9.7  2.07 11.43  6.54  14 1014.9  24.0  25.7 999.0 99.0 99.00
2017 01 01 08 50  37  7.6  9.7  2.22 10.00  6.65   6 1015.2  23.9  25.7 999.0 99.0 99.00
2017 01 01 09 50  29  7.1  8.7  2.05 10.00  6.50  27 1015.1  23.8  25.7 999.0 99.0 99.00
2017 01 01 10 50  47  7.9  9.4  2.15 10.00  6.62  44 1014.6  23.9  25.7 999.0 99.0 99.00
2017 01 01 11 50  49  7.0  8.9  2.05  9.09  6.38  29 1013.9  23.8  25.7 999.0 99.0 99.00
2017 01 01 12 50  33  6.4  7.9  2.04 10.00  6.63  13 1013.7  23.7  25.7 999.0 99.0 99.00
2017 01 01 13 50  38  6.4  7.8  2.23 10.00  6.85  13 1013.2  23.5  25.7 999.0 99.0 99.00
2017 01 01 14 50  27  5.8  7.3  1.93 10.00  6.43  25 1013.5  23.5  25.7 999.0 99.0 99.00
2017 01 01 15 50  21  6.4  8.0  2.15  9.09  6.80   7 1013.8  23.5  25.7 999.0 99.0 99.00
2017 01 01 16 50  22  7.0  8.5  2.08  9.09  6.87  46 1013.9  23.4  25.7 999.0 99.0 99.00
2017 01 01 17 50  25  6.9  8.2  1.87  9.09  6.22  81 1014.5  23.4  25.7 999.0 99.0 99.00
2017 01 01 18 50  23  7.3  8.7  1.84  9.09  6.24  77 1015.3  23.6  25.7 999.0 99.0 99.00
2017 01 01 19 50  27  7.7  9.2  1.85 10.00  6.22  13 1015.7  23.6  25.7 999.0 99.0 99.00
2017 01 01 20 50  29  8.6 10.0  1.99  9.09  6.39  33 1015.2  23.5  25.7 999.0 99.0 99.00
2017 01 01 21 50  30  7.1  8.3  1.89  9.09  6.27  49 1014.7  23.6  25.7 999.0 99.0 99.00
2017 01 01 22 50  29  6.5  7.8  1.90 10.00  6.41  20 1013.9  23.6  25.7 999.0 99.0 99.00
2017 01 01 23 50  22  5.0  6.7  1.89 10.00  6.40   6 1013.2  23.6  25.7 999.0 99.0 99.00
2017 01 02 00 50  28  4.9  6.2  1.97  9.09  6.89  50 1012.7  23.6  25.7 999.0 99.0 99.00
2017 01 02 01 50  22  4.4  5.4  1.79  9.09  6.63  75 1012.5  23.9  25.7 999.0 99.0 99.00
2017 01 02 03 50  31  5.8  7.3  1.70  6.67  6.50  42 1012.9  23.8  25.7 999.0 99.0 99.00
2017 01 02 04 50  39  6.3  8.3  1.92  9.09  6.75  62 1013.1  23.7  25.7 999.0 99.0 99.00
2017 01 02 05 50  32  6.5  7.7  1.75  8.33  6.56  77 1013.7  23.7  25.7 999.0 99.0 99.00
2017 01 02 06 50  35  5.9  7.3  1.67  9.09  6.44  74 1014.2  23.7  25.7 999.0 99.0 99.00
2017 01 02 07 50  40  6.0  7.8  1.79  9.09  6.77  61 1014.3  23.7  25.6 999.0 99.0 99.00
2017 01 02 08 50  53  5.5  6.9  1.76 13.79  6.86 343 1014.3  23.7  25.6 999.0 99.0 99.00
2017 01 02 09 50  56  4.7  6.2  1.69 13.79  6.98 358 1014.2  23.7  25.6 999.0 99.0 99.00
2017 01 02 10 50  63  4.1  5.4  1.78 12.90  7.05  17 1014.2  23.7  25.6 999.0 99.0 99.00
2017 01 02 11 50  66  3.9  7.0  1.67 13.79  7.11 358 1014.3  23.6  25.6 999.0 99.0 99.00
2017 01 02 12 50  30  4.3  5.9  1.82 12.90  7.20  12 1013.7  23.6  25.6 999.0 99.0 99.00
2017 01 02 13 50  55  3.8  5.0  1.92 12.90  7.83 351 1013.2  23.5  25.6 999.0 99.0 99.00
2017 01 02 14 50  47  3.3  4.8  1.90 12.90  7.46   9 1013.1  23.5  25.6 999.0 99.0 99.00
2017 01 02 15 50  57  3.5  4.6  1.88 12.12  7.37   7 1013.2  23.5  25.7 999.0 99.0 99.00
2017 01 02 16 50  39  4.1  5.6  1.80 12.12  7.26 358 1013.5  23.5  25.7 999.0 99.0 99.00
2017 01 02 17 50  37  3.3  5.0  1.89 12.12  7.55  17 1014.0  23.6  25.7 999.0 99.0 99.00
2017 01 02 18 50  44  3.8  5.3  1.89 10.81  7.31  16 1014.5  23.7  25.7 999.0 99.0 99.00
